id	chave	autores	titulo	ano	veiculo	link	area	tema	veredito	motivo
RF001	carpenter1987massively	G. A. Carpenter, S. Grossberg	A massively parallel architecture for a self-organizing neural pattern recognition machine	1987	Boston University; Northeastern University	https://doi.org/10.1016/s0734-189x(87)80014-2	Ciência da Computação	Auto-estabilização, organização neural, vigilância atencional.	redundante	O dilema estabilidade-plasticidade que a ART carrega já vive no livro, e medido: o cap. 11 (o estado que dura) e o cap. 19 (o esquecimento, a meia-vida) medem o mesmo compromisso com instrumento próprio, e o programa de Grossberg já entrou por grossberg1987competitive e grossberg2020path. Dúvida declarada: a vigilância atencional como controle de granularidade da partição poderia servir ao cap. 6, mas o controle de células ali é instrumento da casa — na dúvida, redundante.
RF003	rumelhart1985feature	D. E. Rumelhart, D. Zipser	Feature discovery through competitive learning	1985	University of California at San Diego	https://doi.org/10.1016/s0364-0213(85)80010-0	Ciência da Computação	Aprendizado competitivo, descoberta de características, modelos conexionistas.	redundante	Aprendizado competitivo e descoberta de características já entram no corpus via grossberg1987competitive (a linhagem Grossberg/Carpenter que o livro cita); Rumelhart–Zipser corroboraria o mesmo fenômeno com fonte paralela da era PDP, e o veículo declarado é nota técnica institucional (UCSD). Dúvida declarada: poderia sustentar a origem histórica do objeto, mas não carrega afirmação mensurável que algum capítulo faça e que a chave citada não cubra.
RF004	sejnowski1986nettalk	T. J. Sejnowski, C. R. Rosenberg	NETtalk: A parallel-network that learns to read aloud	1986	Johns Hopkins University	https://papers.cnl.salk.edu/PDFs/NETtalk_%20a%20Parallel%20Network%20That%20Learns%20to%20Read%20Aloud%201988-3929.pdf	Ciência da Computação	Retropropagação (back propagation), mapeamento associativo, unidades ocultas.	fora-de-escopo	Demonstração clássica de retropropagação aprendendo mapeamento grafema-fonema; nenhum capítulo do mapa treina mapeamento supervisionado — a memória/capacidade (cap. 29) é medida em readout linear de estado e o esquecimento (cap. 19) já entra via grossberg2020path; a fonte não carrega afirmação mensurável para capítulo existente.
RF005	bayes1763essay	Thomas Bayes, Richard Price	An Essay towards solving a Problem in the Doctrine of Chances	1763	Royal Society	https://doi.org/10.1098/rstl.1763.0053	Probabilidade e Estatística	Inferência Bayesiana, Probabilidade de Hipóteses	redundante	As fundações da probabilidade que o cap. 1 constrói já têm fonte citada (kolmogorov1933grundbegriffe, no cap. 1), e o livro não faz inferência por posterior em nenhum dos 33 capítulos — as únicas ocorrências de 'Bayes' no livro todo são citações de pearl2000bayesian no cap. 23; o peso de cada explicação do cap. 11 já tem formalismo via jsang2007cumulative. O ensaio de 1763 seria procedência histórica, enfeite, não afirmação mensurável nova.
RF006	dalkey1962experimental	Norman Dalkey, Olaf Helmer	An Experimental Application of the Delphi Method to the Use of Experts	1962	RAND Corporation	https://www.rand.org/pubs/research_memoranda/RM727z1.html	Probabilidade e Estatística	Elicitação de Conhecimento de Especialistas, Consenso de Grupo	fora-de-escopo	Elicitação e consenso de especialistas (Delphi): o mapa não tem degrau de julgamento de especialista — a probabilidade do livro nasce como frequência (cap. 1) e o peso de cada explicação (cap. 11) sai dos dados, não de opinião agregada; a fonte não carrega afirmação medível para capítulo nenhum.
RF008	conrady2015bayesian	Stefan Conrady, Lionel Jouffe	Bayesian Networks & BayesiaLab: A Practical Introduction for Researchers	2015	BayesiaLab (Bayesia)	https://www.bayesia.com/bayesialab/e-book	Ciência da Computação	Redes Bayesianas, Codificação de Conhecimento, Descoberta de Conhecimento, Inferência Bayesiana	baixo-valor	Guia prático da ferramenta comercial BayesiaLab, publicado pelo próprio fornecedor, sem revisão por pares — qualidade insuficiente para o registro do livro. A isto se soma a redundância: o conhecimento de redes bayesianas de que o mapa precisa (causa/intervenção, caps. 23-24) já entra via pearl2000bayesian, e o livro não carrega nenhum degrau de modelagem em software.
RF009	aebischer2017bayesian	David Aebischer, John Vatterott, Jr., Michael Grimes, Andrew Vatterott, Roderick Jordan, Carlo Reinoso, Bradford Alex Baker, William D. Aldrich, Luis Reinoso, Rodolfo Villalba, Michael Johnson, Christopher Myers, Stefan Conrady, Joseph A. Tatman, Suzanne M. Mahoney, Darrin L. Whaley, Amanda B. Hepler	Bayesian Networks for Combat Equipment Diagnostics	2017	U.S. Army Communications Electronics Command, Aberdeen, Maryland	https://doi.org/10.1287/inte.2016.0883	Ciência da Computação	Redes Bayesianas, Diagnóstico de Equipamentos, Inferência Probabilística	fora-de-escopo	Diagnóstico de equipamento militar com redes bayesianas: aplicação sem degrau no mapa — nenhum dos 33 capítulos mede diagnóstico de equipamento. A teoria de redes bayesianas e intervenção que o livro usa já entra via pearl2000bayesian, peters2016causal e scholkopf2021causal; além do escopo, é relatório técnico militar sem revisão por pares — não carrega alegação medível nova para capítulo existente.
RF014	taleb2020option	Nassim Nicholas Taleb, Brandon Yarckin, Chitpuneet Mann, Damir Delic, Mark Spitznagel	Option Pricing Under Power Laws: A Robust Heuristic	2020	Universa Investments, STEM Academic Press	https://arxiv.org/abs/1908.02347	Probabilidade e Estatística	Heurísticas robustas, precificação de opções, leis de potência	redundante	A precificação sob caudas de lei de potência e a robustez ao expoente já estão no corpus via taleb2020statistical; as medições do cap. 27 sobre incerteza do expoente (taleb2020tail) e pré-assíntota (taleb2018much) cobrem o mesmo território — é o sétimo Taleb, sem afirmação nova.
RF022	prigogine1996certitudes	Ilya Prigogine	La Fin des Certitudes	1996	Editions Odile Jacob	https://www.odilejacob.fr/catalogue/sciences/physique-chimie/fin-des-certitudes_9782738109866.php	Filosofia	Complexidade, Sistemas fora do equilíbrio, Estruturas dissipativas	fora-de-escopo	Ensaio filosófico sobre o fim das certezas e estruturas dissipativas: não carrega afirmação medível que um capítulo possa citar. O tema irreversibilidade/seta do tempo o mapa toca (caps. 21 e 32), mas com instrumento medido já coberto por fontes citadas (landauer1961irreversibility, roldan2017statistics); Prigogine é filosofia sem contato com a medida do livro.
RF023	stengers1997certainty	Ilya Prigogine; Isabelle Stengers	The End of Certainty	1997	University of Texas at Austin; Free University of Brussels	https://openlibrary.org/books/OL657829M	Filosofia	Traducao inglesa de RF022 (La Fin des Certitudes, 1996) --- o mesmo trabalho, outra edicao. Instabilidade, Caos Determinístico, Irreversibilidade, Seta do Tempo	fora-de-escopo	Filosofia da ciência sem afirmação mensurável que caiba num degrau; a direção do tempo no livro é vigiada com instrumento estatístico e orçamento de alarmes (cap. 21, já servido por gallavotti1995dynamical, roldan2017statistics e godreche2018characterising), o §3 do contrato tranca vocabulário teleológico — e o título é a tradução inglesa do mesmo trabalho de RF022, duplicata de edição.
