id	chave	autores	titulo	ano	veiculo	link	area	tema
RF002	grossberg1987competitive	Stephen Grossberg	Competitive Learning: From Interactive Activation to Adaptive Resonance	1987	Boston University (CNS Tech Lab)	https://doi.org/10.1111/j.1551-6708.1987.tb00862.x	Ciência da Computação	Dilema Estabilidade-Plasticidade, Teoria da Ressonância Adaptativa (ART)
RF007	pearl2000bayesian	Judea Pearl	Bayesian Networks*	2000	University of California, Los Angeles (UCLA)	http://publications.stat.ucla.edu/preprints/single-page/?smid=654	Ciência da Computação	Gráficos Acíclicos Dirigidos (DAGs), Conhecimento Incerto, Inferências Bi-direcionais
RF011	fontanari2020gini	Andrea Fontanari, Pasquale Cirillo, Nassim Nicholas Taleb	Gini Estimation Under Infinite Variance	2020	STEM Academic Press	https://doi.org/10.1016/j.physa.2018.02.102	Probabilidade e Estatística	Estimadores não paramétricos, desigualdade econômica, viés de amostra, eficiência assintótica
RF012	taleb2020much	Nassim Nicholas Taleb, Michail Loulakis, Spyros Makridakis, Pasquale Cirillo	How Much Data Do You Need? An Operational Metric for Fat-Tailedness	2020	STEM Academic Press, NYU Tandon School of Engineering	https://doi.org/10.1016/j.ijforecast.2018.10.003	Probabilidade e Estatística	Metodologias de inferência estatística, pré-assintótica, convergência para o limite central, diversificação de portfólio
RF013	taleb2020super	Nassim Nicholas Taleb, Raphael Douady	On the Super-Additivity and Estimation Biases of Quantile Contributions	2020	STEM Academic Press	https://doi.org/10.1016/j.physa.2015.02.038	Probabilidade e Estatística	Concentração, leis de potência, viés de estimação, superaditividade
RF015	vovk2022admissible	Vladimir Vovk, Bin Wang, Ruodu Wang	Admissible ways of merging p-values under arbitrary dependence	2022	University of London, University of Waterloo	https://doi.org/10.1214/21-aos2109	Probabilidade e Estatística	Fusão de p-valores (p-merging), dualidade de transporte ótimo
RF016	wang2025anytime	Hongjian Wang, Aaditya Ramdas	Anytime-valid t-tests and confidence sequences for Gaussian means with unknown variance	2025	Carnegie Mellon University	https://doi.org/10.1080/07474946.2024.2428245	Probabilidade e Estatística	Teste t válido a qualquer momento, sequências de confiança, variância desconhecida
RF017	vovk2021values	Vladimir Vovk, Ruodu Wang	E-values: Calibration, combination, and applications	2021	University of London, University of Waterloo	https://doi.org/10.1214/20-aos2020	Probabilidade e Estatística	E-valores, calibradores p-para-e, funções de fusão (merging)
RF018	waudbysmith2024estimating	Ian Waudby-Smith, Aaditya Ramdas	Estimating means of bounded random variables by betting	2024	Carnegie Mellon University	https://doi.org/10.1093/jrsssb/qkad009	Probabilidade e Estatística	Teste por aposta (testing by betting), martingais não negativos, sequências de confiança
RF019	wang2022false	Ruodu Wang, Aaditya Ramdas	False discovery rate control with e-values	2022	University of Waterloo, Carnegie Mellon University	https://doi.org/10.1111/rssb.12489	Probabilidade e Estatística	Taxa de falsa descoberta (FDR), e-BH procedure, e-variáveis compostas
RF020	larsson2025numeraire	Martin Larsson, Aaditya Ramdas, Johannes Ruf	The numeraire e-variable and reverse information projection	2025	Carnegie Mellon University, London School of Economics	https://doi.org/10.1214/24-aos2487	Probabilidade e Estatística	E-variável numeraire, Projeção de Informação Reversa (RIPr), dualidade forte
RF021	wasserman2020universal	Larry Wasserman, Aaditya Ramdas, Sivaraman Balakrishnan	Universal inference	2020	Carnegie Mellon University	https://doi.org/10.1073/pnas.1922664117	Probabilidade e Estatística	Inferência universal, e-variáveis, e-processos, modelos irregulares
RF027	seeger2002bayesian	Matthias Seeger	PAC-Bayesian Generalization Error Bounds for Gaussian Process Classification	2002	University of Edinburgh	https://www.jmlr.org/papers/v3/seeger02a.html	Ciência da Computação	Teoria do aprendizado estatístico, limites PAC-Bayesian, classificação GP
RF028	taleb2020machine	Nassim Nicholas Taleb	Machine Learning Considerations	2020	NYU Tandon School of Engineering	https://arxiv.org/abs/2001.10488	Probabilidade e Estatística	Redes Neurais, Teorema da Aproximação Universal, Extrapolação fora da amostra
RF029	taleb2020statistical	Nassim Nicholas Taleb, Pasquale Cirillo, Raphael Douady, Andrea Fontanari, Hélyette Geman, Donald Geman, Espen Haug	Statistical Consequences of Fat Tails: Real World Preasymptotics, Epistemology, and Applications	2020	NYU Tandon School of Engineering, Universa Investments	https://arxiv.org/abs/2001.10488	Probabilidade e Estatística	Aprendizado de Máquina, calibração de modelos, incerteza epistemológica, previsões sob caudas pesadas
RF035	dohare2024loss	Shibhansh Dohare, J. Fernando Hernandez-Garcia, Qingfeng Lan, Parash Rahman, A. Rupam Mahmood, Richard S. Sutton	Loss of Plasticity in Deep Continual Learning	2024	University of Alberta, Amii	https://doi.org/10.1038/s41586-024-07711-7	Ciência da Computação	Plasticidade, perda de plasticidade, neurônios dormentes, retropropagação contínua, classificação de imagens, aprendizado por reforço profundo.
RF037	farias2025self	V. Farias, A. D. Jozefiak	Self-Normalized Resets for Plasticity in Continual Learning	2025	Massachusetts Institute of Technology (MIT)	https://arxiv.org/abs/2410.20098	Ciência da Computação	Resets auto-normalizados, inferência Bayesiana (implícito no contexto de processos Gaussianos ou métodos relacionados citados na descrição), plasticidade.
RF040	shin2022detectors	Jaehyeok Shin, Aaditya Ramdas, Alessandro Rinaldo	E-detectors: a nonparametric framework for sequential change detection	2022	Carnegie Mellon University	https://arxiv.org/abs/2203.03532	Probabilidade e Estatística	Detecção de mudança sequencial, processos-e (e-processes), inferência não paramétrica
RF041	peters2016causal	Jonas Peters, Peter Bühlmann, Nicolai Meinshausen	Causal inference using invariant prediction: identification and confidence intervals	2016	ETH Zürich, University of Copenhagen	https://doi.org/10.1111/rssb.12167	Probabilidade e Estatística	Inferência causal, predição invariante, descoberta causal local
RF042	scholkopf2021causal	Bernhard Schölkopf, Francesco Locatello, Stefan Bauer, Nan Rosemary Ke, Nal Kalchbrenner, Anirudh Goyal, Yoshua Bengio	Toward Causal Representation Learning	2021	Max Planck Institute for Intelligent Systems, Mila, Google Research	https://doi.org/10.1109/JPROC.2021.3058954	Ciência da Computação	Aprendizado de representação causal (CRL), mecanismos causais independentes (ICM), mudança de mecanismo esparso (SMS)
RF043	plassier2023conformal	Vincent Plassier, Mehdi Makni, Aleksandr Rubashevskii, Eric Moulines, Maxim Panov	Conformal Prediction for Federated Uncertainty Quantification Under Label Shift	2023	Ecole Polytechnique (França), Lagrange Mathematics and Computing Research Center, MBZUAI (EAU), Technology Innovation Institute	https://proceedings.mlr.press/v202/plassier23a.html	Probabilidade e Estatística	Aprendizado Federado (FL), Quantificação de Incerteza (UQ), Predição Conformal (CP), Regressão de Quantis, Privacidade Diferencial (DP)
RF044	dong2020critical	C. Dong, C. Smadi, V. A. Vatutin	Critical branching processes in random environment and Cauchy domain of attraction	2020	Xidian University (China), Univ. Grenoble Alpes (França), Steklov Mathematical Institute (Rússia)	https://doi.org/10.30757/alea.v17-34	Probabilidade e Estatística	Processos de ramificação (Branching processes), Ambiente Aleatório, Passeio Aleatório Condicionado, Teoria de Flutuação
RF045	halme2026adaptive	Topi Halme, H. Vincent Poor, Visa Koivunen	Adaptive Sequential Change Detection using Mixtures of Predictive Distributions	2026	Aalto University, Princeton University	https://arxiv.org/abs/2606.05072	Probabilidade e Estatística	Detecção de Mudança Rápida (QCD), Teste de Hipóteses Sequencial, Estimação Paramétrica Adaptativa
RF051	ramdas2021hypothesis	Aaditya Ramdas	Hypothesis testing using e-values, martingales & betting	2021	Carnegie Mellon University	https://www.stat.cmu.edu/~aramdas/talks/JHU24.pdf	Probabilidade e Estatística	Inferência Bayesiana; Martingais; Processos-e; SAVI (Sequential Anytime-Valid Inference)
RF052	miramontes2026early	Roberto Alvarez-Martinez e Pedro Miramontes	Early Warning Signals in Ecological Time-Series	2026	Universidad Autónoma de Querétaro; UNAM; Universidad Autónoma de San Luis Potosí	https://doi.org/10.3390/e28060628	Ciência da Computação	Aprendizado de máquina (EWSNet), sinais de alerta precoce (EWS), perda de resiliência, desaceleração crítica (CSD), bifurcação
RF053	zamir2025optimality	Mark Braverman e Or Zamir	Optimality of Frequency Moment Estimation	2025	Princeton University; Tel Aviv University	https://doi.org/10.1145/3717823.3718171	Ciência da Computação	Estimativa de momentos de frequência (F2), complexidade de espaço em algoritmos de streaming
RF054	taleb2020tail	Pasquale Cirillo e Nassim Nicholas Taleb	Tail Risk of Contagious Diseases	2020	Delft University of Technology; New York University (Tandon School of Engineering)	https://doi.org/10.1038/s41567-020-0921-x	Probabilidade e Estatística	Teoria do Valor Extremo (EVT), caudas gordas (fat-tailed), risco existencial, incerteza de parâmetros
RF059	woodruff2004optimal	David Woodruff	Optimal Space Lower Bounds for all Frequency Moments	2004	MIT, CMU School of Computer Science	http://www.cs.cmu.edu/afs/cs/user/dwoodruf/www/soda2.pdf	Ciência da Computação	Complexidade de comunicação, dimensão VC, shatter coefficients, algoritmos de streaming
RF061	kolmogorov1933grundbegriffe	Andrei Nikolaevich Kolmogorov	Grundbegriffe der Wahrscheinlichkeitsrechnung	1933	Moscow State University	https://doi.org/10.1007/978-3-642-49888-6	Probabilidade e Estatística	Fundamentos da probabilidade, axiomatização, medida abstrata, probabilidade condicional
RF063	chen2018stationary	Xi Chen, Yining Wang, Yu-Xiang Wang	Non-stationary Stochastic Optimization under $L_{p,q}$-Variation Measures	2018	Stern School of Business (NYU), Carnegie Mellon University, Amazon Inc.	https://doi.org/10.1287/opre.2019.1843	Ciência da Computação	Otimização estocástica não estacionária, Otimização convexa online, Bandit convex optimization
RF064	vovk2022algorithmic	Vladimir Vovk, Alex Gammerman, Glenn Shafer	Algorithmic learning in a random world	2022	Royal Holloway (University of London), Rutgers School of Business	https://doi.org/10.1007/978-3-031-06649-8	Probabilidade e Estatística	Predição conforme (Conformal Prediction), Teoria algorítmica da aleatoriedade, Aprendizado de máquina
RF068	grossberg2020path	Stephen Grossberg	A Path Toward Explainable AI and Autonomous Adaptive Intelligence: Deep Learning, Adaptive Resonance, and Models of Perception, Emotion, and Action	2020	Center for Adaptive Systems, Boston University	https://doi.org/10.3389/fnbot.2020.00036	Ciência da Computação	Plasticidade, Teoria da Ressonância Adaptativa (ART), esquecimento catastrófico, retropropagação, inteligência adaptativa autônoma
